No,Kabupaten/Kota,Bulan,Tahun,Jumlah Kecelakaan,Meninggal Dunia,Luka Berat,Luka Ringan,Kerugian Materil (Rp)
1,Kab. Cilacap,Januari,2025,531,64,1,639,601052522
2,Kab. Cilacap,Mei,2025,750,90,2,902,848544737
3,Kab. Cilacap,Desember,2025,688,83,1,827,777832676
4,Kab. Banyumas,Januari,2025,489,59,1,588,552726691
5,Kab. Banyumas,Mei,2025,690,83,1,830,780320034
6,Kab. Banyumas,Desember,2025,632,76,1,760,715293365
7,Kab. Purbalingga,Januari,2025,270,32,1,324,305056808
8,Kab. Purbalingga,Mei,2025,381,46,1,458,430668434
9,Kab. Purbalingga,Desember,2025,349,42,1,420,394779398
10,Kab. Banjarnegara,Januari,2025,251,30,0,302,283914257
11,Kab. Banjarnegara,Mei,2025,354,43,1,426,400820127
12,Kab. Banjarnegara,Desember,2025,325,39,1,391,367418450
13,Kab. Kebumen,Januari,2025,320,39,1,385,362443732
14,Kab. Kebumen,Mei,2025,452,54,1,544,511685268
15,Kab. Kebumen,Desember,2025,415,50,1,499,469044829
16,Kab. Purworejo,Januari,2025,192,23,0,231,217466239
17,Kab. Purworejo,Mei,2025,271,33,1,326,307011161
18,Kab. Purworejo,Desember,2025,249,30,0,299,281426898
19,Kab. Wonosobo,Januari,2025,222,27,0,267,250690248
20,Kab. Wonosobo,Mei,2025,313,38,1,376,353915644
21,Kab. Wonosobo,Desember,2025,287,34,1,345,324422674
22,Kab. Magelang,Januari,2025,358,43,1,430,404728834
23,Kab. Magelang,Mei,2025,505,61,1,607,571381883
24,Kab. Magelang,Desember,2025,463,56,1,557,523766726
25,Kab. Boyolali,Januari,2025,262,31,0,315,295995714
26,Kab. Boyolali,Mei,2025,369,44,1,444,417876303
27,Kab. Boyolali,Desember,2025,339,41,1,407,383053277
28,Kab. Klaten,Januari,2025,312,38,1,376,353382639
29,Kab. Klaten,Mei,2025,441,53,1,530,498893137
30,Kab. Klaten,Desember,2025,404,49,1,486,457318709
31,Kab. Sukoharjo,Januari,2025,240,29,0,289,271832799
32,Kab. Sukoharjo,Mei,2025,339,41,1,408,383763951
33,Kab. Sukoharjo,Desember,2025,311,37,1,374,351783622
34,Kab. Wonogiri,Januari,2025,254,30,0,305,286934621
35,Kab. Wonogiri,Mei,2025,358,43,1,431,405084171
36,Kab. Wonogiri,Desember,2025,328,39,1,395,371327157
37,Kab. Karanganyar,Januari,2025,240,29,0,289,271832799
38,Kab. Karanganyar,Mei,2025,339,41,1,408,383763951
39,Kab. Karanganyar,Desember,2025,311,37,1,374,351783622
40,Kab. Sragen,Januari,2025,243,29,0,292,274853163
41,Kab. Sragen,Mei,2025,343,41,1,413,388027995
42,Kab. Sragen,Desember,2025,315,38,1,378,355692329
43,Kab. Grobogan,Januari,2025,379,46,1,456,428891749
44,Kab. Grobogan,Mei,2025,535,64,1,644,605494234
45,Kab. Grobogan,Desember,2025,491,59,1,590,555036382
46,Kab. Blora,Januari,2025,232,28,0,279,262771706
47,Kab. Blora,Mei,2025,328,39,1,394,370971820
48,Kab. Blora,Desember,2025,301,36,1,362,340057501
49,Kab. Rembang,Januari,2025,168,20,0,202,190282959
50,Kab. Rembang,Mei,2025,238,29,0,286,268634766
51,Kab. Rembang,Desember,2025,218,26,0,262,246248535
52,Kab. Pati,Januari,2025,334,40,1,401,377545554
53,Kab. Pati,Mei,2025,471,57,1,567,533005488
54,Kab. Pati,Desember,2025,432,52,1,519,488588364
55,Kab. Kudus,Januari,2025,230,28,0,276,259751341
56,Kab. Kudus,Mei,2025,324,39,1,390,366707776
57,Kab. Kudus,Desember,2025,297,36,1,357,336148794
58,Kab. Jepara,Januari,2025,328,39,1,395,371504825
59,Kab. Jepara,Mei,2025,464,56,1,558,524477400
60,Kab. Jepara,Desember,2025,425,51,1,511,480770950
61,Kab. Demak,Januari,2025,310,37,1,372,350362274
62,Kab. Demak,Mei,2025,437,53,1,526,494629093
63,Kab. Demak,Desember,2025,401,48,1,482,453410002
64,Kab. Semarang,Januari,2025,283,34,1,340,320158630
65,Kab. Semarang,Mei,2025,400,48,1,481,451988654
66,Kab. Semarang,Desember,2025,366,44,1,440,414322933
67,Kab. Temanggung,Januari,2025,208,25,0,250,235588426
68,Kab. Temanggung,Mei,2025,294,35,1,354,332595425
69,Kab. Temanggung,Desember,2025,270,32,1,324,304879139
70,Kab. Kendal,Januari,2025,267,32,1,321,302036443
71,Kab. Kendal,Mei,2025,377,45,1,453,426404390
72,Kab. Kendal,Desember,2025,346,42,1,416,390870691
73,Kab. Batang,Januari,2025,211,25,0,254,238608790
74,Kab. Batang,Mei,2025,298,36,1,358,336859468
75,Kab. Batang,Desember,2025,273,33,1,328,308787846
76,Kab. Pekalongan,Januari,2025,248,30,0,299,280893892
77,Kab. Pekalongan,Mei,2025,351,42,1,422,396556083
78,Kab. Pekalongan,Desember,2025,321,39,1,386,363509743
79,Kab. Pemalang,Januari,2025,353,42,1,424,398688105
80,Kab. Pemalang,Mei,2025,498,60,1,598,562853795
81,Kab. Pemalang,Desember,2025,456,55,1,548,515949312
82,Kab. Tegal,Januari,2025,393,47,1,472,443993572
83,Kab. Tegal,Mei,2025,554,67,1,666,626814454
84,Kab. Tegal,Desember,2025,508,61,1,611,574579916
85,Kab. Brebes,Januari,2025,531,64,1,639,601052522
86,Kab. Brebes,Mei,2025,750,90,2,902,848544737
87,Kab. Brebes,Desember,2025,688,83,1,827,777832676
88,Kota Magelang,Januari,2025,32,4,0,39,36244373
89,Kota Magelang,Mei,2025,45,5,0,54,51168527
90,Kota Magelang,Desember,2025,42,5,0,50,46904483
91,Kota Surakarta,Januari,2025,139,17,0,167,157058950
92,Kota Surakarta,Mei,2025,196,24,0,236,221730283
93,Kota Salatiga,Januari,2025,53,6,0,64,60407289
94,Kota Salatiga,Mei,2025,75,9,0,91,85280878
95,Kota Semarang,Januari,2025,449,54,1,539,507421225
96,Kota Semarang,Mei,2025,633,76,1,762,716359376
97,Kota Pekalongan,Januari,2025,83,10,0,100,93631297
98,Kota Pekalongan,Mei,2025,117,14,0,141,132185361
99,Kota Tegal,Januari,2025,67,8,0,80,75509111
100,Kota Tegal,Mei,2025,94,11,0,113,106601098
